nombre,apellido_1,apellido_2,dni,email,telefono,movil,fecha_nacimiento,curso,fecha_matriculacion,poblacion,provincia,calle,extension,asignatura,nota
Maria isabel,Saez,Castro,6101425P,maria isabel.saez.castro@gmail.com,969188648,650447577,1997-08-03,DevOps & Cloud Computing Full Stack,,Olaibar,Navarra,Nueva,45 1B,Python,
Maria isabel,Saez,Castro,6101425P,maria isabel.saez.castro@gmail.com,969188648,650447577,1997-08-03,DevOps & Cloud Computing Full Stack,,Olaibar,Navarra,Nueva,45 1B,Plataformas Cloud y Kubernetes,
Maria angeles,Alonso,Herrera,7768582X,maria angeles.alonso.herrera@gmail.com,944798850,669450868,1994-04-04,Desarrollo Web Full Stack,,Huerta de Arriba,Burgos,Dolores Ibárruri,31 1C,Desarrollo frontend con JavaScript,
Maria angeles,Alonso,Herrera,7768582X,maria angeles.alonso.herrera@gmail.com,944798850,669450868,1994-04-04,DevOps & Cloud Computing Full Stack,2023-10-12,Huerta de Arriba,Burgos,Dolores Ibárruri,31 1C,Docker,9
Maria angeles,Alonso,Herrera,7768582X,maria angeles.alonso.herrera@gmail.com,944798850,669450868,1994-04-04,DevOps & Cloud Computing Full Stack,2023-10-12,Huerta de Arriba,Burgos,Dolores Ibárruri,31 1C,Base Linux,8
Maria angeles,Alonso,Herrera,7768582X,maria angeles.alonso.herrera@gmail.com,944798850,669450868,1994-04-04,DevOps & Cloud Computing Full Stack,2023-10-12,Huerta de Arriba,Burgos,Dolores Ibárruri,31 1C,Introducción Despliegue en Servidores,5
Maria angeles,Alonso,Herrera,7768582X,maria angeles.alonso.herrera@gmail.com,944798850,669450868,1994-04-04,DevOps & Cloud Computing Full Stack,2023-10-12,Huerta de Arriba,Burgos,Dolores Ibárruri,31 1C,Python,2
Maria angeles,Alonso,Herrera,7768582X,maria angeles.alonso.herrera@gmail.com,944798850,669450868,1994-04-04,DevOps & Cloud Computing Full Stack,2023-10-12,Huerta de Arriba,Burgos,Dolores Ibárruri,31 1C,Plataformas Cloud y Kubernetes,0
Guillermo,Saez,Rodriguez,4010260A,guillermo.saez.rodriguez@gmail.com,971897400,698359706,2003-04-21,Desarrollo de Apps Móviles Full Stack,,Sant Pol de Mar,Barcelona,Reina Sofía,80 2B,Modelado de datos & SQL,
Guillermo,Saez,Rodriguez,4010260A,guillermo.saez.rodriguez@gmail.com,971897400,698359706,2003-04-21,Desarrollo de Apps Móviles Full Stack,,Sant Pol de Mar,Barcelona,Reina Sofía,80 2B,Introducción a GNU/Linux,
Guillermo,Saez,Rodriguez,4010260A,guillermo.saez.rodriguez@gmail.com,971897400,698359706,2003-04-21,Desarrollo de Apps Móviles Full Stack,,Sant Pol de Mar,Barcelona,Reina Sofía,80 2B,Arquitectura y código de calidad,
Juan,Morales,Marquez,7706101C,juan.morales.marquez@gmail.com,928592746,629237599,1993-10-02,Aprende a Programar desde Cero,,Sayatón,Guadalajara,Reina Sofía,43 3Izq.,Fundamentos de programación,
Martina,Gimenez,Calvo,1106624W,martina.gimenez.calvo@gmail.com,983500251,663979160,2003-07-22,Desarrollo Web Full Stack,2023-10-22,Hornachuelos,Córdoba,Francisco Pizarro,56 3Izq.,Prompt Engineering,9
